,model,brand,year,price,mileage,fuel_type,transmission
374,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,Manual
375,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel,Manual
376,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel,Manual
377,Maruti Suzuki Swift,Maruti,2012,225000,40000,Gasoline,Manual
378,Maruti Suzuki Versa,Maruti,2004,80000,50000,Gasoline,Automatic
379,Tata Indigo LX,Tata,2016,130000,104000,Diesel,Automatic
380,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,Automatic
381,Mercedes Benz C,Mercedes,2002,399000,41000,Gasoline,Manual
382,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel,Manual
383,Honda City,Honda,2000,65000,80000,Gasoline,Automatic
384,Hyundai Santro Xing,Hyundai,2006,75000,46000,Gasoline,Manual
385,Maruti Suzuki Omni,Maruti,2001,70000,70000,Gasoline,Manual
386,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel,Automatic
387,Hyundai Elite i20,Hyundai,2018,600000,7800,Gasoline,Manual
388,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,Manual
389,Maruti Suzuki Alto,Maruti,2017,240000,60000,Gasoline,Manual
390,Maruti Suzuki Alto,Maruti,2011,155000,32000,Gasoline,Manual
391,Honda Jazz S,Honda,2009,169999,24695,Gasoline,Manual
392,Hyundai Grand i10,Hyundai,2017,450000,15141,Gasoline,Manual
393,Maruti Suzuki Zen,Maruti,2001,40000,40000,Gasoline,Manual
394,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel,Automatic
395,Maruti Suzuki Alto,Maruti,2014,270000,22000,Gasoline,Automatic
396,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel,Manual
397,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel,Automatic
398,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Gasoline,Manual
399,Hyundai i20 Magna,Hyundai,2013,310000,35000,Gasoline,Manual
400,Renault Duster 85,Renault,2015,715000,65000,Diesel,Manual
401,Hyundai Grand i10,Hyundai,2014,340000,35000,Gasoline,Manual
402,Honda Brio V,Honda,2012,235000,33000,Gasoline,Manual
403,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel,Manual
404,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Gasoline,Manual
405,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel,Manual
406,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel,Manual
407,Nissan X Trail,Nissan,2019,1200000,300,Diesel,Manual
408,Maruti Suzuki Alto,Maruti,2015,230000,5000,Gasoline,Manual
409,Ford Ikon 1.3,Ford,2001,45000,65000,Gasoline,Manual
410,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel,Manual
411,Tata Manza ELAN,Tata,2010,155555,111111,Gasoline,Manual
412,Mercedes Benz A,Mercedes,2013,1500000,14000,Gasoline,Manual
413,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel,Manual
414,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel,Manual
415,Tata Indigo LS,Tata,2016,125000,70000,Diesel,Manual
416,Hyundai i20 Magna,Hyundai,2010,195000,36000,Gasoline,Manual
417,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel,Manual
418,Renault Kwid RXT,Renault,2015,270000,43000,Gasoline,Manual
419,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel,Manual
420,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel,Manual
421,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Gasoline,Manual
422,BMW 5 Series,BMW,2011,1299000,49000,Diesel,Manual
423,Skoda Superb 1.8,Skoda,2011,530000,68000,Gasoline,Manual
424,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel,Manual
425,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel,Manual
426,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
427,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel,Manual
428,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Gasoline,Manual
429,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Gasoline,Manual
430,Tata Nano GenX,Tata,2010,32000,44005,Gasoline,Manual
431,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel,Manual
432,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel,Manual
433,Hyundai Elite i20,Hyundai,2015,405000,28000,Gasoline,Manual
434,Hyundai Elite i20,Hyundai,2015,400000,30000,Gasoline,Manual
435,Honda City SV,Honda,2017,760000,4000,Gasoline,Manual
436,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Gasoline,Manual
437,Ford Figo Gasoline,Ford,2011,175000,75000,Gasoline,Manual
438,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
439,Honda City,Honda,2017,750000,3000,Gasoline,Manual
440,Hyundai Elite i20,Hyundai,2015,419000,20000,Gasoline,Manual
441,Maruti Suzuki Versa,Maruti,2004,90000,50000,Gasoline,Manual
442,Hyundai Eon Era,Hyundai,2018,140000,2110,Gasoline,Manual
443,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Gasoline,Manual
444,Hyundai i10 Magna,Hyundai,2008,275000,100200,Gasoline,Manual
445,Toyota Corolla H2,Toyota,2003,150000,100000,Gasoline,Manual
446,Maruti Suzuki Swift,Maruti,2011,230000,65,Gasoline,Manual
447,Tata Indigo CS,Tata,2015,123000,100000,Diesel,Manual
448,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
449,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual
450,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel,Manual
451,Honda City,Honda,2015,499999,55000,Gasoline,Manual
452,Hyundai Accent Executive,Hyundai,2009,165000,48000,Gasoline,Manual
453,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Gasoline,Manual
454,Tata Zest XE,Tata,2018,480000,103553,Diesel,Manual
455,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel,Manual
456,Tata Sumo Gold,Tata,2014,250000,99000,Diesel,Automatic
457,Toyota Corolla Altis,Toyota,2010,220000,58000,Gasoline,Manual
458,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG,Manual
459,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,Manual
460,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel,Automatic
461,Tata Tigor Revotron,Tata,2019,650000,100,Diesel,Manual
462,Maruti Suzuki 800,Maruti,2001,55000,81876,Gasoline,Manual
463,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Gasoline,Manual
464,Maruti Suzuki Versa,Maruti,2004,90000,50000,Gasoline,Manual
465,Honda Mobilio S,Honda,2014,399000,44000,Diesel,Manual
466,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel,Automatic
467,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel,Manual
468,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel,Manual
469,Maruti Suzuki Swift,Maruti,2007,130000,62000,Gasoline,Manual
470,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,Manual
471,Maruti Suzuki Omni,Maruti,2014,190000,6020,Gasoline,Manual
472,Honda Amaze,Honda,2013,250000,55700,Diesel,Manual
473,Tata Indica,Tata,2005,80000,42000,Gasoline,Manual
474,Hyundai Santro Xing,Hyundai,2003,120000,50000,Gasoline,Automatic
475,Maruti Suzuki Zen,Maruti,2010,149000,35000,Gasoline,Manual
476,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Gasoline,Manual
477,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Gasoline,Manual
478,Honda Brio VX,Honda,2017,450000,11000,Gasoline,Automatic
479,Maruti Suzuki Zen,Maruti,2003,99999,53000,Gasoline,Automatic
480,Maruti Suzuki Zen,Maruti,2008,135000,23000,Gasoline,Manual
481,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel,Manual
482,Maruti Suzuki Alto,Maruti,2010,99000,22134,Gasoline,Manual
483,Renault Kwid RXT,Renault,2019,370000,1000,Gasoline,Manual
484,Tata Nano Lx,Tata,2010,52000,9000,Gasoline,Manual
485,Jaguar XE XE,Jaguar,2016,2800000,8500,Gasoline,Manual
486,Hyundai Eon Magna,Hyundai,2014,190000,35000,Gasoline,Automatic
487,Honda City 1.5,Honda,2014,499000,22000,Gasoline,Automatic
488,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel,Manual
489,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Gasoline,Manual
490,Hyundai Grand i10,Hyundai,2017,400000,20000,Gasoline,Manual
491,Hyundai Eon D,Hyundai,2016,120000,87000,Gasoline,Manual
492,Maruti Suzuki Swift,Maruti,2015,250000,55000,Gasoline,Manual
493,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Gasoline,Manual
494,Honda Amaze 1.2,Honda,2014,381000,6000,Gasoline,Manual
495,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Gasoline,Manual
496,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel,Manual
497,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Gasoline,Automatic
498,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Gasoline,Manual
499,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel,Manual
500,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel,Manual
501,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Gasoline,Manual
502,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Gasoline,Manual
503,Maruti Suzuki Alto,Maruti,2015,90000,55800,Gasoline,Manual
504,Hyundai Grand i10,Hyundai,2015,340000,53000,Gasoline,Manual
505,Hyundai Eon D,Hyundai,2018,260000,25000,Gasoline,Manual
506,Ford Fiesta SXi,Ford,2009,250000,56400,Gasoline,Manual
507,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel,Manual
508,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel,Automatic
509,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Gasoline,Manual
510,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Gasoline,Manual
511,Audi A6 2.0,Audi,2012,1599000,11500,Diesel,Manual
512,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Gasoline,Manual
513,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Gasoline,Manual
514,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Gasoline,Manual
515,Maruti Suzuki Alto,Maruti,2010,110000,55000,Gasoline,Manual
516,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Gasoline,Manual
517,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Gasoline,Manual
518,Maruti Suzuki Swift,Maruti,2009,150000,45000,Gasoline,Manual
519,Hyundai Getz Prime,Hyundai,2009,110000,20000,Gasoline,Manual
520,Hyundai Santro,Hyundai,2000,51999,88000,Gasoline,Manual
521,Hyundai Getz Prime,Hyundai,2009,115000,20000,Gasoline,Manual
522,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel,Automatic
523,Ford EcoSport Trend,Ford,2017,580000,10000,Gasoline,Manual
524,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Gasoline,Manual
525,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel,Automatic
526,Tata Indica V2,Tata,2005,35000,150000,Diesel,Manual
527,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel,Manual
528,Hyundai i20 Asta,Hyundai,2010,300000,10750,Gasoline,Manual
529,Honda City 1.5,Honda,2009,269000,55000,Gasoline,Manual
530,Tata Nano,Tata,2013,60000,6800,Gasoline,Manual
531,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel,Manual
532,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel,Manual
533,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel,Automatic
534,Mahindra XUV500 W6,Mahindra,2014,8500003,45000,Diesel,Manual
535,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel,Manual
536,Maruti Suzuki Alto,Maruti,2014,199000,37000,Gasoline,Manual
537,Hyundai Accent GLE,Hyundai,2006,90000,55000,Gasoline,Manual
538,Force Motors One,Force,2013,550000,140000,Diesel,Manual
539,Maruti Suzuki Alto,Maruti,2019,265000,9800,Gasoline,Manual
540,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Gasoline,Manual
541,Hyundai i10,Hyundai,2009,215000,27000,Gasoline,Manual
542,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel,Manual
543,Renault Duster 85PS,Renault,2013,401919,57923,Diesel,Manual
544,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel,Manual
545,Maruti Suzuki Alto,Maruti,2017,280000,6200,Gasoline,Manual
546,BMW 5 Series,BMW,2009,650000,37518,Gasoline,Manual
547,Toyota Etios Liva,Toyota,2014,160000,24652,Gasoline,Manual
548,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel,Manual
549,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel,Manual
550,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel,Manual
551,Jeep Wrangler Unlimited,Jeep,2015,950000,3528,Diesel,Manual
552,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel,Manual
553,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel,Automatic
554,Maruti Suzuki Omni,Maruti,2012,160000,14000,Gasoline,Manual
555,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Gasoline,Manual
556,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel,Manual
557,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel,Manual
558,Tata Indigo CS,Tata,2016,150000,104000,Diesel,Manual
559,Hyundai i10 Era,Hyundai,2011,175000,30000,Gasoline,Manual
560,Tata Indigo eCS,Tata,2014,95000,195000,Diesel,Manual
561,Tata Indigo LX,Tata,2016,230000,104000,Diesel,Manual
562,Tata Indigo eCS,Tata,2016,230000,104000,Diesel,Manual
563,Tata Indigo Marina,Tata,2004,180000,70000,Diesel,Manual
564,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel,Manual
565,Hyundai Eon Magna,Hyundai,2013,185000,23000,Gasoline,Manual
566,Renault Duster 85,Renault,2015,385000,51000,Diesel,Manual
567,Maruti Suzuki Alto,Maruti,2009,90000,62000,Gasoline,Manual
568,Tata Nano LX,Tata,2010,32000,48008,Gasoline,Manual
569,Renault Duster 110,Renault,2013,435000,39000,Diesel,Manual
570,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Gasoline,Manual
571,Maruti Suzuki Swift,Maruti,2006,189700,48247,Gasoline,Manual
572,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel,Manual
573,Maruti Suzuki Swift,Maruti,2014,365000,23000,Gasoline,Manual
574,Maruti Suzuki Alto,Maruti,2017,360000,9400,Gasoline,Manual
575,Hyundai i20 Magna,Hyundai,2010,210000,50000,Gasoline,Manual
576,Hyundai i10 Magna,Hyundai,2009,170000,75000,Gasoline,Automatic
577,Tata Zest XE,Tata,2017,380000,70000,Diesel,Manual
578,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel,Manual
579,Toyota Corolla Altis,Toyota,2010,185000,55000,Gasoline,Manual
580,Tata Manza Aqua,Tata,2014,160000,200000,Diesel,Manual
581,Renault Kwid 1.0,Renault,2018,290000,2137,Gasoline,Manual
582,Tata Venture EX,Tata,2013,100000,30000,Diesel,Manual
583,Maruti Suzuki Swift,Maruti,2014,315000,44000,Gasoline,Manual
584,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel,Manual
585,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG,Manual
586,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel,Automatic
587,Tata Sumo Gold,Tata,2012,210000,75000,Diesel,Manual
588,Hyundai Verna 1.6,Hyundai,2018,855000,42000,Diesel,Automatic
589,Tata Sumo Gold,Tata,2012,210000,75000,Diesel,Manual
590,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel,Manual
591,Maruti Suzuki Zen,Maruti,2002,95000,10544,Gasoline,Manual
592,Maruti Suzuki Swift,Maruti,2011,255000,64000,Gasoline,Manual
593,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel,Manual
594,Hyundai Grand i10,Hyundai,2014,340000,25000,Gasoline,Manual
595,Hyundai Elite i20,Hyundai,2017,550000,15000,Gasoline,Manual
596,Ford Ikon 1.6,Ford,2003,60000,50000,Gasoline,Manual
597,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel,Manual
598,Nissan Sunny XL,Nissan,2011,230000,52000,Gasoline,Manual
599,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel,Manual
600,Maruti Suzuki Alto,Maruti,2017,270000,21000,Gasoline,Manual
601,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel,Manual
602,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel,Manual
603,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel,Manual
604,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel,Manual
605,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel,Manual
606,Hyundai Elite i20,Hyundai,2015,500000,22000,Gasoline,Manual
607,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel,Manual
608,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel,Manual
609,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel,Manual
610,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel,Manual
611,Hyundai Elite i20,Hyundai,2015,470000,30000,Gasoline,Manual
612,Hyundai Santro Xing,Hyundai,2014,179000,57000,Gasoline,Manual
613,Maruti Suzuki Zen,Maruti,2003,48000,60000,Gasoline,Manual
614,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Gasoline,Automatic
615,Hyundai Eon Era,Hyundai,2013,190000,39700,Gasoline,Manual
616,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Gasoline,Manual
617,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel,Manual
618,Maruti Suzuki Zen,Maruti,2008,125000,46000,Gasoline,Manual
619,Hyundai Eon Era,Hyundai,2012,188000,38000,Gasoline,Manual
620,Hyundai Grand i10,Hyundai,2016,380000,27000,Gasoline,Manual
621,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel,Manual
622,Ford EcoSport Trend,Ford,2014,465000,47000,Gasoline,Manual
623,Hyundai i20 Magna,Hyundai,2011,240000,42000,Gasoline,Manual
624,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel,Automatic
625,Tata Indica eV2,Tata,2015,140000,60105,Diesel,Manual
626,Jaguar XF 2.2,Jaguar,2013,2190000,29000,Diesel,Manual
627,Audi Q5 2.0,Audi,2014,2390000,34000,Diesel,Manual
628,BMW 3 Series,BMW,2011,1075000,35000,Diesel,Manual
629,Maruti Suzuki Swift,Maruti,2015,475000,22000,Gasoline,Manual
630,BMW X1 sDrive20d,BMW,2012,1025000,41000,Diesel,Manual
631,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel,Manual
632,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel,Manual
633,Maruti Suzuki Alto,Maruti,2016,270000,38000,Gasoline,Manual
634,Honda City SV,Honda,2014,475000,34000,Diesel,Manual
635,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Gasoline,Manual
636,Honda City 1.5,Honda,2005,120000,68000,Gasoline,Manual
637,Audi A4 2.0,Audi,2016,1900000,44000,Diesel,Manual
638,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel,Manual
639,Tata Zest XE,Tata,2018,450000,102563,Diesel,Manual
640,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel,Manual
641,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel,Manual
642,Tata Sumo Gold,Tata,2014,275000,116000,Diesel,Automatic
643,Maruti Suzuki Swift,Maruti,2009,210000,59000,Gasoline,Manual
644,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel,Manual
645,Maruti Suzuki Omni,Maruti,2009,85000,45000,Gasoline,Manual
646,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel,Manual
647,Renault Duster,Renault,2014,800000,7400,Diesel,Automatic
648,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel,Manual
649,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel,Manual
650,Audi A4 2.0,Audi,2013,1510000,27000,Diesel,Manual
651,Volvo S80 Summum,Volvo,2015,1850000,42000,Diesel,Automatic
652,Toyota Corolla Altis,Toyota,2014,790000,29000,Gasoline,Automatic
653,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel,Automatic
654,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Gasoline,Automatic
655,BMW X1,BMW,2011,1000000,34000,Diesel,Automatic
656,Datsun Redi GO,Datsun,2018,299999,7000,Gasoline,Manual
657,Mercedes Benz C,Mercedes,2009,1225000,76000,Diesel,Automatic
658,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel,Manual
659,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel,Manual
660,Tata Indigo CS,Tata,2017,270000,50000,Diesel,Manual
661,Ford Figo Gasoline,Ford,2019,525000,0,Gasoline,Automatic
662,Honda City ZX,Honda,2006,180000,50000,Gasoline,Manual
663,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Gasoline,Manual
664,Ford EcoSport Trend,Ford,2014,400000,16000,Gasoline,Automatic
665,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel,Automatic
666,Maruti Suzuki Omni,Maruti,2009,85000,56000,Gasoline,Automatic
667,Maruti Suzuki Zen,Maruti,2004,70000,100000,Gasoline,Manual
668,Renault Duster RxL,Renault,2015,550000,36000,Gasoline,Automatic
669,Maruti Suzuki Swift,Maruti,2014,370000,11523,Gasoline,Manual
670,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Gasoline,Manual
671,Honda WR V,Honda,2009,250000,60000,Gasoline,Manual
672,Tata Indigo CS,Tata,2016,110000,85000,Diesel,Manual
673,Renault Duster 110,Renault,2013,490000,38600,Diesel,Manual
674,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel,Manual
675,Maruti Suzuki Zen,Maruti,2004,68000,56000,Gasoline,Manual
676,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Gasoline,Manual
677,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel,Manual
678,Audi A3 Cabriolet,Audi,2015,3100000,12516,Gasoline,Manual
679,Hyundai Eon D,Hyundai,2018,280000,35000,Gasoline,Automatic
680,Maruti Suzuki Zen,Maruti,2009,125000,0,Gasoline,Automatic
681,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel,Automatic
682,Hyundai Santro AE,Hyundai,2011,165000,45000,Gasoline,Manual
683,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel,Manual
684,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,Automatic
685,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel,Manual
686,Hyundai Santro,Hyundai,2003,60000,51000,Gasoline,Manual
687,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel,Automatic
688,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel,Manual
689,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel,Manual
690,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel,Manual
691,Maruti Suzuki Alto,Maruti,2013,240000,20000,Gasoline,Manual
692,Hyundai Getz GLE,Hyundai,2007,99000,55000,Gasoline,Manual
693,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel,Manual
694,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Gasoline,Manual
695,Hyundai Santro Xing,Hyundai,2007,115000,46000,Gasoline,Automatic
696,Hyundai Santro Xing,Hyundai,2009,88000,43200,Gasoline,Automatic
697,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel,Manual
698,Hyundai Santro Xing,Hyundai,2007,135000,42000,Gasoline,Automatic
699,Tata Indica V2,Tata,2009,90000,30600,Diesel,Manual
700,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Gasoline,Manual
701,Hyundai Grand i10,Hyundai,2017,424999,2550,Gasoline,Manual
702,Hyundai Santro Xing,Hyundai,2007,135000,47000,Gasoline,Manual
703,Honda City 1.5,Honda,2005,95000,41000,Gasoline,Manual
704,Nissan Micra XL,Nissan,2017,430000,62500,Diesel,Manual
705,Honda City 1.5,Honda,2005,115000,68000,Gasoline,Manual
706,Maruti Suzuki Alto,Maruti,2015,215000,50000,Gasoline,Manual
707,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Gasoline,Manual
708,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel,Manual
709,Tata Indica eV2,Tata,2012,85000,55000,Diesel,Manual
710,Maruti Suzuki Omni,Maruti,2013,165000,25000,Gasoline,Manual
711,Hyundai Eon Era,Hyundai,2014,200000,28400,Gasoline,Manual
712,Hyundai Eon,Hyundai,2014,200000,28000,Gasoline,Manual
713,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel,Manual
714,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel,Manual
715,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel,Manual
716,Tata Tiago Revotron,Tata,2018,430000,3500,Gasoline,Manual
717,Tata Tiago Revotorq,Tata,2019,568500,0,Gasoline,Manual
718,Maruti Suzuki Zen,Maruti,2006,71000,32000,Gasoline,Manual
719,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel,Manual
720,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel,Manual
721,Hindustan Motors Ambassador,Hindustan,1995,750000,37000,Gasoline,Manual
722,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel,Manual
723,Hyundai Santro Xing,Hyundai,2007,135000,46000,Gasoline,Manual
724,Hyundai Santro,Hyundai,2002,60000,47000,Gasoline,Manual
725,Fiat Linea Emotion,Fiat,2009,120000,64000,Gasoline,Manual
726,Ford Ikon 1.3,Ford,2008,95000,46000,Gasoline,Manual
727,Maruti Suzuki Omni,Maruti,2017,240000,8000,Gasoline,Manual
728,Tata Indica V2,Tata,2012,115000,64000,Diesel,Manual
729,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel,Manual
730,Hyundai Santro Xing,Hyundai,2007,55000,65000,Gasoline,Manual
731,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel,Manual
732,Hyundai Grand i10,Hyundai,2014,320000,41000,Gasoline,Manual
733,Maruti Suzuki Alto,Maruti,2015,265000,14000,Gasoline,Manual
734,Toyota Corolla,Toyota,2006,160000,40000,Gasoline,Manual
735,Hyundai Eon Magna,Hyundai,2017,300000,1600,Gasoline,Manual
736,Tata Sumo Grande,Tata,2010,130000,90000,Diesel,Manual
737,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel,Manual
738,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,Gasoline,Manual
739,Maruti Suzuki Alto,Maruti,2003,42000,60000,Gasoline,Manual
740,Tata Tiago Revotron,Tata,2017,400000,31000,Gasoline,Manual
